Terrain Type,Distance (km),Travel Mode,Terrain Difficulty,Weather Conditions,Accessibility,Elevation,Travel Time (hrs),Cost ($)
Urban,10,Car,Easy,Sunny,High,Flat,0.5,5
Mountain,50,Hiking,Difficult,Snowy,Low,Mountainous,10.0,0
Coastal,200,Boat,Moderate,Rainy,Medium,Flat,5.0,50
Desert,100,Car,Difficult,Sunny,Low,Flat,2.0,20
Forest,30,Bike,Moderate,Rainy,Medium,Hilly,3.0,10
Urban,15,Train,Easy,Sunny,High,Flat,1.0,15
Mountain,70,Hiking,Difficult,Snowy,Low,Mountainous,12.0,0
Coastal,150,Boat,Moderate,Rainy,Medium,Flat,6.0,60
Desert,80,Car,Difficult,Sunny,Low,Flat,3.0,25
Forest,40,Bike,Moderate,Rainy,Medium,Hilly,4.0,15
Urban,20,Bus,Easy,Sunny,High,Flat,0.7,3
Mountain,60,Hiking,Difficult,Snowy,Low,Mountainous,11.0,0
Coastal,250,Boat,Moderate,Rainy,Medium,Flat,7.0,70
Urban,25,Car,Easy,Cloudy,High,Flat,1.2,6
Mountain,45,Hiking,Difficult,Snowy,Low,Mountainous,9.0,0
Coastal,180,Boat,Moderate,Sunny,Medium,Flat,5.5,55
Desert,90,Car,Difficult,Hot,Low,Flat,2.5,22
Forest,35,Bike,Moderate,Cloudy,Medium,Hilly,3.5,12
Urban,18,Bus,Easy,Sunny,High,Flat,0.8,4
Mountain,65,Hiking,Difficult,Snowy,Low,Mountainous,11.5,0
Coastal,220,Boat,Moderate,Rainy,Medium,Flat,6.5,65
Desert,110,Car,Difficult,Sunny,Low,Flat,3.3,28
Forest,50,Bike,Moderate,Sunny,Medium,Hilly,4.5,18
Urban,22,Train,Easy,Cloudy,High,Flat,1.1,16
Mountain,55,Hiking,Difficult,Cloudy,Low,Mountainous,10.5,0
Coastal,230,Boat,Moderate,Sunny,Medium,Flat,7.0,68
Desert,95,Car,Difficult,Hot,Low,Flat,2.8,24
Forest,42,Bike,Moderate,Rainy,Medium,Hilly,4.2,16
Urban,28,Car,Easy,Cloudy,High,Flat,1.5,8
Mountain,75,Hiking,Difficult,Snowy,Low,Mountainous,13.0,0
Coastal,260,Boat,Moderate,Sunny,Medium,Flat,7.2,72
Desert,120,Car,Difficult,Sunny,Low,Flat,3.5,30
Forest,55,Bike,Moderate,Sunny,Medium,Hilly,5.0,20
Urban,30,Bus,Easy,Sunny,High,Flat,1.0,5
Mountain,85,Hiking,Difficult,Snowy,Low,Mountainous,14.0,0
Coastal,300,Boat,Moderate,Rainy,Medium,Flat,8.0,80
Desert,150,Car,Difficult,Sunny,Low,Flat,4.0,35
Forest,60,Bike,Moderate,Sunny,Medium,Hilly,5.5,22
